DataSourceID,DataSource
1466,Medimetriks Pharmaceuticals
7660,"Nelco Laboratories, Inc."
1382,"BioActive Nutritional, Inc."
6828,American Sales Company
2163,Endo Pharmaceuticals Inc
5967,"Nelco Laboratories, Inc."
6361,Apotheca Company
3406,"Energique, Inc."
8660,Tyco Healthcare Group LP
1544,Meijer Distribution Inc
4856,"APP Pharmaceuticals, LLC"
9544,Cardinal Health
1221,Aurolife Pharma LLC
3049,"Elizabeth Arden, Inc"
6417,"Paddock Laboratories, LLC"
8354,CLINIQUE LABORATORIES INC
7872,Bryant Ranch Prepack
9532,Bryant Ranch Prepack
4259,"3LAB, Inc"
4129,"Isagenix International, LLC"
9848,Medicine Shoppe International
5108,"Aphena Pharma Solutions - Tennessee, LLC"
5904,"Dispensing Solutions, Inc."
9226,"APP Pharmaceuticals, LLC"
4493,REMEDYREPACK INC.
3824,Supervalu Inc
2547,Cardinal Health
7480,"Physicians Total Care, Inc."
9867,"Nelco Laboratories, Inc."
3522,"Allermed Laboratories, Inc."
3578,International Beauty Exchange
5901,Jubilant HollisterStier LLC
7561,Pharmacia and Upjohn Company
4716,Alaven Pharmaceutical LLC
1228,CVS Pharmacy
1683,"PD-Rx Pharmaceuticals, Inc."
2838,Walgreen Company
8415,Rebel Distributors Corp
8223,WOCKHARDT LIMITED
7544,"Bolero Home Decor, Inc."
2685,"Physicians Total Care, Inc."
9964,Bio Spectra
9300,Uriel Pharmacy Inc.
3148,"Aidance Skincare & Topical Solutions, LLC"
3936,Air Liquide America Specialty Gases LLC
3222,Rebel Distributors Corp
6070,"Femme Couture International, Inc"
3258,Actavis Elizabeth LLC
8638,Acme United Corporation
1074,Incyte Corporation
4631,"Aphena Pharma Solutions - Tennessee, LLC"
3000,"Allermed Laboratories, Inc."
7933,"Cypress Pharmaceutical, Inc."
1993,Daley International
7475,Kroger Company
9972,"Ajou Medics Co., Ltd"
6368,"Roxane Laboratories, Inc"
3587,"Nelco Laboratories, Inc."
8376,Lantern Enterprises Ltd.
8278,"Pharmaceutical Associates, Inc."
3901,Cal Pharma
1703,"Northwind Pharmaceuticals, LLC"
4213,Mylan Pharmaceuticals Inc.
3604,"Antigen Laboratories, Inc."
7619,Kroger Company
1081,"Laura Geller Beauty, LLC"
5346,Glytone
8113,"Norco, Inc"
5434,"Physicians Total Care, Inc."
3017,EQUALINE (SuperValu)
7093,Feelgood Health
6109,"Charm-Tex, Inc."
8927,Jubilant HollisterStier LLC
1282,Zenith Medicosm SL
1183,Energetix Corp
4646,Bryant Ranch Prepack
8714,Aurobindo Pharma Limited
9051,"Physicians Total Care, Inc."
5514,Uriel Pharmacy Inc.
6183,-L'Oreal USA Products Inc
6224,Teva Pharmaceuticals USA Inc
4420,"Cardinal Health 418, Inc"
1685,Cardinal Health
1144,WALGREEN CO.
3302,Novartis Pharmaceuticals Corporation
5012,Parfums Christian Dior
7895,Mylan Pharmaceuticals Inc.
1540,3M Company
5875,"AvKARE, Inc."
2334,Parfums Christian Dior
4087,Parke-Davis Div of Pfizer Inc
5585,REMEDYREPACK INC.
1247,"Actavis Pharma, Inc."
1445,Energetix Corp
3078,"WOONSOCKET PRESCRIPTION CENTER,INCORPORATED"
4912,WellSpring Pharmaceutical Corporation
2046,Tri-Coastal Design Company Inc.
8082,"Amneal Pharmaceuticals of New York, LLC"
6971,Cardinal Health
7619,"PD-Rx Pharmaceuticals, Inc."
5401,"Camellix, LLC"
8815,Kimberly-Clark Corporation
3223,CVS
9668,Pfizer Laboratories Div Pfizer Inc
1595,"Physicians Total Care, Inc."
5127,VIATREXX BIO INCORPORATED
9944,GlaxoSmithKline Consumer Healthcare LP
9290,Service Drug
8178,"Golden Sunshine International, Inc."
4978,"Cypress Pharmaceutical, Inc."
5345,Cardinal Health
3493,Aidarex Pharmaceuticals LLC
1239,Hyland's
2591,Bayer HealthCare Consumer Care
8240,Ohm Laboratories Inc.
7396,Mylan Pharmaceuticals Inc.
6098,Valeant Pharmaceuticals North America LLC
9431,Medtech Products Inc.
8317,KANEBO COSMETICS INC
9669,"Janssen Pharmaceuticals, Inc."
8604,"Avon Products, Inc"
4267,Mylan Institutional LLC
3541,NorthStar Rx LLC
2006,Walgreen Company
5672,GlaxoSmithKline LLC
4807,Safeway
4021,REMEDYREPACK INC.
7438,Rebel Distributors Corp
2629,Laboratoires Anios
8735,"Breckenridge Pharmaceutical, Inc."
1747,BioMarin Pharmaceutical Inc.
6443,"NATURE REPUBLIC CO., LTD."
6469,Cadila Healthcare Limited
6150,"Newton Laboratories, Inc."
3475,"PD-Rx Pharmaceuticals, Inc."
6755,"Golden State Medical Supply, Inc."
3265,Mylan Pharmaceuticals Inc.
8807,Chain Drug Marketing Association
2661,Neutrogena Corporation
6632,Dr. Reddy's Laboratories Limited
7844,"Fenwal, Inc."
7266,JAFRA COSMETICS INTERNATIONAL
8744,Sagent Pharmaceuticals
4800,"Actavis Pharma, Inc."
5238,WOCKHARDT USA LLC
2590,Genuine First Aid LLC
2261,"NATURE REPUBLIC CO., LTD."
1475,"Aphena Pharma Solutions - Tennessee, LLC"
3700,Cardinal Health
2142,Procter & Gamble Manufacturing Company
5295,McKesson Contract Packaging
2690,West-Ward Pharmaceutical Corp
9455,West-ward Pharmaceutical Corp
4540,SiCap Industries LLC
4544,Dr. Reddy's Laboratories Limited
9721,White Manufacturing Incorporated DBA Micro-West
9095,Premier Value
9196,"Physicians Total Care, Inc."
8823,Rebel Distributors Corp
5364,"Taro Pharmaceuticals U.S.A., Inc."
8313,Rebel Distributors Corp
3960,"Methapharm, Inc."
4311,Duramed Pharmaceuticals Inc.
2021,CVS
9794,Energizer Personal Care LLC
6499,"Church & Dwight Co., Inc."
3110,REMEDYREPACK INC.
3013,Citron Pharma LLC
9029,Wal-Mart Stores Inc
5096,Dr. Reddy's Laboratories Limited
9157,Uriel Pharmacy Inc.
9928,Cardinal Health
3534,"Wyeth Pharmaceutical Division of Wyeth Holdings Corporation, a subsidiary of Pfizer Inc."
2508,NorthStar Rx LLC
6572,"Dolgencorp, LLC"
2381,"Preferred Pharmaceuticals, Inc"
7821,"Altura Pharmaceuticals, Inc."
2450,Cardinal Health
4040,Wal-Mart Stores Inc
5927,Ortho-McNeil-Janssen Pharmaceutical
7483,"Geiss, Destin & Dunn, Inc"
5500,"Silarx Pharmaceuticals, Inc"
4922,Homeocare Laboratories
5703,COSTCO WHOLESALE CORPORATION
8508,Safeway
6205,Remedy Makers
3782,Winthrop U.S.
6257,Cardinal Health
9965,Rebel Distributors Corp
9490,HomeopathyStore.com
9101,"Watson Laboratories, Inc."
3695,STAT Rx USA LLC
7148,REMEDYREPACK INC.
2442,"Antigen Laboratories, Inc."
9458,"Boca Pharmacal, LLC"
3905,Teva Pharmaceuticals USA Inc
6902,REMEDYREPACK INC.
3601,HOMEOLAB USA INC.
2944,"Engergique, Inc."
5879,Ulta
2013,Apotex Corp.
7146,"Claris Lifesciences, Inc."
